ID,Year,Semester,CourseId,Section,facultyId,Title
6,2012,3,A4003,1,388,A4003_2012_3 Core III studio.FINAL.pdf
9,2012,3,A4023,1,380,A4023_001_2012_3_ADR I_UhlFano.pdf
16,2012,3,A4028,1,503,A4028_001_2012_3 Building New York_Dolkart.pdf
18,2012,3,A4032,1,444,A4032_001_2012_3 CCCP Arch Colloquim_Scott.pdf
64,2012,3,A4103,3,828,A4103_003_2012_3 LOT EK_TollaLignanodeMonchaux.pdf
108,2012,3,A4105,1,397,A4105_001_2012_3 ADV Studio V_HawkinsonUhl.pdf
109,2012,3,A4105,2,389,A4105_002_2012_3 ADV Studio V_Tschumi.pdf
110,2012,3,A4105,4,609,A4105_004_2012_3 CBIP-2 Benjamin.pdf
111,2012,3,A4105,5,401,A4105_005_2012_3 ADV Studio V_Dochanstschi.pdf
112,2012,3,A4105,6,402,A4105_006_2012_3 ADV Studio V_Couture.pdf
113,2012,3,A4105,7,457,A4105_007_2012_3 ADV Studio V_Andraos.pdf
114,2012,3,A4105,10,406,A4105_010_2012_3 ADV Studio V_Plunz.pdf
115,2012,3,A4105,11,407,A4105_011_2012_3 ADV Studio V_Tsurumaki.pdf
116,2012,3,A4105,13,383,A4105_013_2012_3 ADV Studio V_Rothstein.pdf
117,2012,3,A4105,15,614,A4105_015_2012_3 ADV Studio V_Levrat.pdf
118,2012,3,A4105,16,496,A4105_016_2012_3 ADV Studio V_Wilson.pdf
119,2012,3,A4105,18,613,A4105_018_2012_3 ADV Studio V_Roche.pdf
219,2012,3,A4111,1,623,A4111_2012_3 Arch Tech I_Anzalone.pdf
223,2012,3,A4113,1,624,A4113_2012_3 Arch Tech III_Exalted Structure_Laufs.pdf
226,2012,3,A4118,1,426,A4118_2012_3 Kostura.pdf
228,2012,3,A4124,1,625,A4124_001_2012_3 Structures Sys Materials_Gembinski.pdf
248,2012,3,A4341,1,503,A4341_2012_3 Amer Arch I_Dolkart.pdf
256,2012,3,A4348,1,0,A4348_001_2012_3 Amer Arch I_McLeod.pdf
261,2012,3,A4356,1,596,A4356_001_2012_3 Contemp Chinese City_Johnson.pdf
274,2012,3,A4469,1,432,A4469_001_2012_3 Hist of Arch Theory_Wigley.pdf
279,2012,3,A4510,1,503,A4510_001_2012_3 Reading Buildings_DolkartBollack.pdf
280,2012,3,A4515,1,607,A4515_001_2012_3 Network Culture_Varnelis.pdf
286,2012,3,A4524,1,0,A4524_001_2012_3 Topo Study_Sanchez.pdf
302,2012,3,A4535,1,380,A4535_001_2012_3 Fund of Digital Des_UhlFano.pdf
316,2012,3,A4581,1,418,A4581_001_2012_3 Exhibition Histories_Wasiuta.pdf
319,2012,3,A4598,1,0,A4598_001_2012_3 Modern Housing_Wright.pdf
322,2012,3,A4605,1,629,A4605_001_2012_3 Italian Ren Arch_Sherer.pdf
332,2012,3,A4623,1,0,A4623_001_2012_3 Sustainable Futures_Orff.pdf
343,2012,3,A4642,1,496,A4642_001_2012_3 Contested Grounds_M. Wilson.pdf
350,2012,3,A4676,1,483,A4676_001_2012_3 Arch Photography_Attali.pdf
361,2012,3,A4684,1,440,A4684_001_2012_3 Sustainable Des_Norris.pdf
739,2012,3,A4003,1,0,A4003_2012_3 Core III studio.pdf
968,2012,3,A4113,1,624,A4113_2012_3 Arch Tech III_Laufs2.pdf
1076,2012,3,A4581,1,418,A4581_2012_3 Exhibition Histories_Wasiuta.pdf
1,2013,3,A4001,1,394,A4001_2013_3_Core I Studio Solomonoff Kumpusch Tomisaki Aviles Kim Rakatansky Caldeira Uhl.pdf
10,2013,3,A4023,1,380,A4023_001_2013_3_ Architectural Drawing Representation - Uhl.pdf
14,2013,1,A4024,1,591,A4024_001_2013_1_ADR 2Kurgan.pdf
19,2013,3,A4032,1,418,A4032_001_2013_3_Arch Colloquium I Documents and Discourse - Wasiuta.pdf
21,2013,3,A4101,1,394,A4101_001_2013_3_Core I Studio.pdf
22,2013,3,A4101,2,376,A4101_002_2013_3_Core I Studio.pdf
23,2013,3,A4101,3,592,A4101_003_2013_3_Core I Studio.pdf
24,2013,3,A4101,4,593,A4101_004_2013_3_Core I Studio.pdf
26,2013,3,A4101,6,413,A4101_006_2013_3_Core I Studio.pdf
